IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,15.72,12744.33,188.5602,12.02552,1834.931,1,41.74538,2.658941,3.000004,-0.0005418863,-3.455908E-05,1.529548,1,0.2468823,0.01574504,1.798983
1,0,0,16.3,12762.26,510.9548,31.42404,5995.492,0,41.92044,2.574965,2.999999,0.05727021,0.003522153,2.999999,0,0.4388976,0.02699247,3.023475
1,0,0,16.94,13912.05,6554.304,387.8287,9000,0,45.59811,2.694924,2.999973,-2.769567E-05,-1.638797E-06,1.033817,0,4.423646,0.2617542,5.999899
1,0,0,18.02,14653.38,314.087,17.46869,1798.536,0,47.99768,2.666538,3.000484,0.009304538,0.0005174938,2.230337,0,0.4479339,0.0249129,2.235713
1,0,0,18.48,14605.05,427.3709,23.1763,2114.203,0,47.94561,2.59727,3.000011,0.05667963,0.003073733,2.431316,0,0.580231,0.03146589,2.470454
1,0,0,19.14,16490.01,315.4237,16.51433,1647.097,0,53.92379,2.820282,3.000006,0.01292084,0.0006764838,0.6129535,0,0.3370902,0.0176487,1.250637
-1,1,3,20.38,14544.45,57.54081,2.828948,193.8711,0,46.95364,2.306171,3.002167,0.06004329,0.002951981,0.8729918,3,1.380632,0.06787766,0.9000778
1,0,0,21.56,17376.94,1199.716,55.74889,8228.175,0,56.59077,2.627241,3.000037,0.01350467,0.0006275404,2.991491,0,1.187472,0.05517991,3.998961
1,1,0,22.38,16340.3,566.8934,25.37571,3316.074,0,53.87243,2.409322,3.000011,-2.850406E-05,-1.27592E-06,1.487574,0,0.7014852,0.03140041,1.793078
