IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,13.74,12937.45,8.643001,0.6308759,72.0854,0,40.97591,2.986583,2.999878,-2.670288E-05,-1.949115E-06,0.552463,0,0.03765602,0.002748615,0.5566545
1,0,0,16.12,12671.09,240.3622,14.9479,1392.562,0,41.78076,2.595078,3.000004,-0.0006205514,-3.85915E-05,2.138921,0,0.3862477,0.02402038,2.206266
1,0,0,16.7,12643.1,280.5178,16.8378,2233.654,0,41.75903,2.503539,2.999999,0.05996773,0.003599504,2.999999,0,0.3966938,0.02381115,2.999999
1,3,0,17.9,14520.85,270.6824,15.15579,780.4212,0,47.34917,2.648164,2.999949,0.02037515,0.001140826,0.6512126,0,0.3384042,0.01894761,0.6646041
-1,4,3,18.94,15273.21,714.5797,37.80845,4363.251,0,48.79932,2.579246,3.00312,0.06005854,0.003177701,0.8779526,13,1.305172,0.06905673,0.8999825
1,1,0,20.22,15047.52,559.1613,27.70869,3497.114,0,48.21185,2.386725,3.000011,0.0599705,0.002971779,2.362931,1,0.9328067,0.04622432,2.362931
1,0,0,21.1,16284.3,617.6278,29.32706,2143.272,0,54.25028,2.573543,3.000007,-0.0008298047,-3.940193E-05,2.07644,0,0.7366459,0.03497844,2.373315
1,0,0,21.76,16689.65,1074.015,49.4482,4671.653,0,54.54804,2.509109,3.000021,0.05996816,0.002760965,2.581543,0,1.058663,0.04874137,2.589825
1,0,0,22.48,16248.79,1249.335,55.67445,9000,0,54.81945,2.440759,2.999997,0.02037632,0.0009080356,1.35955,0,0.8003639,0.03566684,5.999923
