AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,457,9.139999,21.74,21.02116
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,1.111111,0.3333333,18.36667,14810.4,667.0178,37.42009,4830.381,0,48.36676,2.64308,3.0002,0.02505463,0.001379053,2.096979,0.2222222,0.657785,0.03669628,2.882825
Max: 1,5,3,21.74,17539.82,1237.786,76.21838,9000,0,57.15232,2.812844,3.001785,0.06003571,0.003735706,2.999999,1,0.9360576,0.05763902,5.999851
Min: -1,0,0,14.98,12774.26,294.7424,15.13051,1698.951,0,42.08014,2.482655,2.999949,-0.0004242864,-2.839935E-05,0.8998854,0,0.3217921,0.0165191,0.8998871
