AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,1049,20.98,20.78,50.48124
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,1.111111,0.3333333,17.73333,14759.08,865.4244,49.41851,3933.038,8.555555,48.2305,2.727893,3.000098,0.02349792,0.001318952,1.766825,26.44444,0.9449832,0.05414011,2.76864
Max: 1,5,3,20.78,16915.15,3047.085,189.0251,9000,23,55.59436,2.967538,3.000832,0.06001282,0.00370053,2.999999,99,2.342,0.1452854,5.999899
Min: -1,0,0,14.84,12577.61,90.02797,5.052075,552.9154,0,41.91659,2.496998,2.999938,-0.003558055,-0.000220723,0.9000301,0,0.06007232,0.003371062,0.9000301
