IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,11.32,0,10586.11,938.4852,9000,2,72.93122,6.454091,20.51612,-2.013147E-05,-1.784705E-06,18.69285,6,65.43396,5.800883,18.69285
1,0,0,11.32,0,9467.464,839.3142,9000,2,553.0141,48.9393,23873.65,-2.351403E-05,-2.084577E-06,23868.64,2,1019.659,90.39529,23878.72
1,0,0,11.32,0,6537.903,579.6013,9000,2,581.3008,51.44255,25143.55,5.424023E-06,4.808531E-07,25138.55,2,1069.452,94.80958,25148.55
1,0,0,11.32,0,9769.34,866.0762,9000,2,548.0969,48.50415,23696.75,3.038347E-05,2.69357E-06,23691.84,2,1012.755,89.78322,23701.75
-1,0,0,11.32,0,1030.82,91.38472,5044.789,17,552.5305,48.89651,24646.73,0.007643883,0.0006776492,24638.34,116,987.8027,87.57117,24647.94
1,0,0,11.32,0,5957.914,528.1838,9000,2,578.1392,51.16277,24970.1,2.44379E-06,2.166481E-07,24965.1,2,1062.94,94.23225,24975.1
1,0,0,11.32,0,9619.646,852.8055,9000,2,540.34,47.8177,23339.37,1.862645E-06,1.651281E-07,23334.37,2,998.7875,88.54499,23342.1
1,0,0,11.32,0,6882.349,610.1373,9000,2,562.1756,49.75005,24234.19,-1.205504E-05,-1.068709E-06,24229.22,2,1034.54,91.71455,24239.19
1,0,0,11.32,0,7555.152,669.783,9000,2,565.8287,50.07334,24405.47,7.733703E-06,6.85612E-07,24400.47,2,1040.421,92.23586,24410.46
