IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,1,0,13.88,12957.58,43.31141,3.129437,741.5885,0,41.0044,2.95847,2.999878,0.05997149,0.0043332,2.999878,0,0.1135418,0.00820389,2.999878
-1,2,3,14.38,13247.09,29.28289,2.042042,153.1654,0,41.76181,2.908204,3.000046,0.05999965,0.004184076,0.3101704,0,0.0878249,0.00612447,0.3101704
1,1,0,15.68,13180.64,194.6704,12.44696,332.7349,0,42.19368,2.69436,3.000026,-3.106892E-05,-1.986504E-06,3,0,0.4380412,0.02800775,3
1,0,0,17.04,14921.29,841.8656,49.52151,1618.654,0,48.24019,2.834324,3.000722,0.05996896,0.003527586,2.999997,0,1.013673,0.0596278,2.999997
1,0,0,17.82,14886.64,1265.049,71.15013,4657.934,0,48.49913,2.72467,3.000016,0.009466875,0.0005324452,2.249326,0,1.205979,0.06782784,2.321922
1,0,0,18.56,14188.45,812.5811,43.87587,3565.161,0,47.84904,2.580855,2.999903,0.02037751,0.001100297,1.141564,0,0.7973289,0.04305232,1.546616
1,0,0,19.38,16465.56,508.3424,26.28451,1542.601,0,53.13624,2.74464,3.000022,0.02037779,0.00105366,2.010128,0,0.7775398,0.04020372,2.16766
1,0,0,20.62,16496.73,1095.672,53.23965,2861.028,1,54.15873,2.629064,3.000012,0.009315981,0.0004526716,1.52836,3,0.8400756,0.04082,2.180764
1,0,0,21.28,16457.77,1055.142,49.67712,5985.88,0,54.26442,2.552419,3.000017,0.05996853,0.002823377,2.323326,0,0.9074297,0.04272268,2.422769
