AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,372,7.44,12.4,30
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,12.4,0,852.4706,68.97012,5780.238,0.8888889,480.4235,38.80643,21541.87,0.02374158,0.00192084,21540.03,49.55556,923.0356,74.67925,21542.22
Max: 1,0,0,12.4,0,1790.693,144.8781,8625.586,1,543.9386,43.93688,25107.69,0.2116703,0.01712543,25107.69,58,1060.78,85.82363,25107.69
Min: -1,0,0,12.4,0,368.7765,29.83628,2204.575,0,56.89199,4.595476,31.62515,9.34682E-05,7.562152E-06,31.62515,4,77.42656,6.264285,31.62515
