IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,11.62,0,681.587,58.85898,8644.514,0,57.48956,4.955997,43.53598,0.2164934,0.01869545,43.53598,179,82.33114,7.10977,43.53598
1,0,0,11.62,0,781.4597,67.48357,7387.008,0,525.3901,45.29226,23831.2,0.0002864533,2.47369E-05,23831.2,181,1028.019,88.77538,23831.2
-1,0,0,11.62,0,461.2722,39.83352,9000,0,529.0864,45.61089,24351.12,-1.448061E-08,-1.250484E-09,24346.11,2,974.2897,84.13555,24351.51
1,0,0,11.62,0,1056.847,91.26485,8692.626,0,522.5148,45.04438,23363.08,0.0003088852,2.667403E-05,23363.08,181,1013.734,87.54178,23363.08
1,0,0,11.62,0,1045.383,90.27489,8727.657,0,529.7537,45.66843,24067.94,0.0004731672,4.086073E-05,24054.51,179,1037.776,89.618,24072.23
1,0,0,11.62,0,655.9561,56.64561,6615.344,0,533.4136,45.98393,24609,0.0001224357,1.057303E-05,24609,179,1050.188,90.68981,24609
1,0,0,11.62,0,1391.824,120.192,7055.801,0,529.2694,45.62667,23597.79,0.0001243834,1.074123E-05,23584.45,179,1028.922,88.85337,23600.37
1,0,0,11.62,0,502.0666,43.35636,3423.461,0,545.0535,46.98737,24862.76,0.0006751266,5.830109E-05,24862.76,179,1068.509,92.27197,24862.76
1,0,0,11.62,0,588.4846,50.81905,4754.186,0,544.136,46.90828,25108.88,0.0002126475,1.836334E-05,25108.88,179,1069.211,92.33257,25109.3
