IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,15.1,12914.45,834.016,55.37955,2432.224,17,42.13769,2.794276,2.999999,0.05854463,0.003887426,2.999999,36,1.159168,0.07697001,2.999999
1,0,0,15.76,12725.75,2772.766,176.3846,9000,45,42.28918,2.686733,2.999973,-0.0008315966,-5.290054E-05,2.47574,69,2.414438,0.1535902,5.999899
1,0,0,16.32,12818.34,1568.141,96.32318,5455.72,0,42.38245,2.600151,3.000004,-3.033504E-05,-1.863332E-06,2.296184,0,1.074552,0.06600443,2.380883
1,0,0,17.36,14432.05,315.209,18.19913,1252.806,1,47.01382,2.711293,2.999949,0.01924639,0.001111223,2.07475,21,0.5862671,0.03384914,2.075029
1,2,0,17.98,14675.3,682.7607,38.05801,2325.534,0,47.94201,2.669377,3.000032,0.009467034,0.0005277054,2.02284,0,0.6352156,0.03540779,2.344647
-1,5,3,17.98,16779.97,269.6281,15.02944,4481.447,0,52.99006,2.950449,3.000641,0.06001282,0.003345196,0.55902,0,0.06002546,0.003345901,0.55902
1,1,0,19.68,15352.03,1642.33,83.6217,4755.644,33,50.80717,2.584291,3.000824,0.05660563,0.00288216,2.654486,37,1.605965,0.08177011,2.654486
1,1,0,20.32,16420.82,876.8259,43.23599,1663.778,0,54.14737,2.667358,3.00003,0.01292049,0.0006371051,2.360967,0,1.243244,0.06130394,2.362074
1,1,0,21.02,16719.74,1542.093,73.50301,4761.792,0,55.38849,2.637547,3.000018,0.01350285,0.0006436056,1.605896,0,1.09687,0.05228171,3.134458
