AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,543,10.86,21.68,25.04613
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,17.82444,0,590.0526,32.40446,3350.012,4.111111,48.38947,2.725909,3.042506,0.02437904,0.001335371,1.802592,9.777778,0.9241652,0.05100049,2.859943
Max: 1,0,0,21.68,0,941.9112,58.5038,7619.017,11,59.35278,2.978316,3.05897,0.05997014,0.003460003,3.003954,26,1.514595,0.07490579,5.830158
Min: -1,0,0,13.78,0,159.1489,11.58289,118.8797,0,40.98162,2.626661,3.000141,-0.003848579,-0.0002499077,0.8248819,0,0.4166914,0.03032688,0.9427046
