AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,1023,20.46,21.44,47.71455
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0.2222222,0.3333333,17.81778,14732.81,679.9991,34.8945,2701.574,0.1111111,47.9651,2.713116,3.000094,0.03362031,0.002015791,2.333598,2,0.7572539,0.03990224,2.590938
Max: 1,1,3,21.44,16483.78,1678.974,78.45671,7710.708,1,54.55704,2.957426,3.000698,0.05999883,0.004333156,3.000006,18,1.329377,0.06385096,4.258614
Min: -1,0,0,13.88,12950.21,31.27973,2.166186,82.57488,0,40.98992,2.547014,2.999878,-2.973899E-05,-1.90147E-06,0.3530502,0,0.08833057,0.006117076,0.3530502
