AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,482,9.639999,11.74,41.05622
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,11.74,0,1797.359,153.6204,7252.797,1.111111,479.4861,40.91178,21550.03,0.01141716,0.0009758257,21543.65,246,895.6658,76.55264,21550.13
Max: 1,0,0,11.74,0,3535.07,302.1427,9000,3,544.6285,46.47001,25094.29,0.09999847,0.008546878,25086.49,284,1036.162,88.5609,25095.44
Min: -1,0,0,11.74,0,349.8419,29.90102,4728.858,0,53.8569,4.595299,5.000086,0.0001617666,1.382621E-05,0.8747678,0,0.285945,0.02443974,1.255748
