AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,369,7.38,12.1,30.49587
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,12.1,0,1199.614,99.47051,7870.351,0.3333333,480.6623,39.78992,21551.88,2.267574E-05,1.880244E-06,21549.04,184.4444,926.5864,76.83138,21552.35
Max: 1,0,0,12.1,0,2143.919,177.7711,8979.899,3,545.4933,45.15673,25110.28,0.0002136009,1.771152E-05,25110.28,200,1067.738,88.53552,25111.05
Min: -1,0,0,12.1,0,657.5715,54.52501,4296.629,0,55.95426,4.631975,19.61125,-7.748604E-06,-6.425045E-07,19.61125,78,76.24715,6.322318,19.61125
