AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,492,9.84,11.48,42.85714
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,11.48,0,2053.72,179.521,8444.378,9.444445,480.078,41.89163,21557.79,0.01768857,0.001546204,21550.7,256.8889,895.3657,78.26622,21559.24
Max: 1,0,0,11.48,0,3354.431,293.2195,9000,24,543.9141,47.46196,25110.39,0.1572526,0.01374586,25110.39,336,1037.088,90.65453,25110.79
Min: -1,0,0,11.48,0,1547.75,135.2928,7739.598,0,56.07502,4.893108,16.60407,-1.188019E-08,-1.038478E-09,16.60407,2,33.34463,2.91474,22.97332
