IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,12.5,0,717.9674,57.62178,8534.282,0,523.5732,41.95298,23352.89,0.000343931,2.760281E-05,23352.89,63,1024.229,82.20134,23352.89
1,0,0,12.5,0,1178.846,94.61044,8463.26,0,521.7389,41.806,23589.55,8.660369E-05,6.950537E-06,23575.88,63,1024.871,82.25293,23592.28
1,0,0,12.5,0,623.3904,50.03134,5575.184,0,534.699,42.84447,24611.41,0.0001533378,1.230641E-05,24611.41,63,1054.709,84.64761,24611.41
-1,0,0,12.5,0,438.5836,35.19933,4782.083,0,530.9136,42.54116,23883.91,-2.071684E-08,-1.662668E-09,23878.91,2,955.5498,76.68939,23884.37
1,0,0,12.5,0,1275.154,102.3398,8504.07,0,532.9345,42.70309,24119.72,0.0001337239,1.073226E-05,24119.72,63,1049.706,84.24603,24119.72
1,0,0,12.5,0,399.7547,32.08304,5159.076,0,543.6938,43.56521,25110.54,5.803708E-05,4.657871E-06,25110.54,63,1072.347,86.06318,25111.59
1,0,0,12.5,0,866.7941,69.56615,8238.157,0,56.08831,4.494256,28.23607,0.1941626,0.01558287,28.23607,63,86.76333,6.963349,28.23607
1,0,0,12.5,0,339.5135,27.24828,1318.674,0,536.1669,42.96209,24353.5,0.0001754463,1.408076E-05,24353.5,63,1054.131,84.60123,24353.5
1,0,0,12.5,0,360.4867,28.93151,1885.979,0,539.1497,43.2011,24860.82,0.0001799412,1.444151E-05,24860.82,65,1062.9,85.30494,24860.82
