AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,1104,22.08,21.06,52.42165
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0.4444444,0.3333333,17.49333,14708.28,409.1747,22.39223,2105.736,0.1111111,47.83234,2.751293,3.000165,0.03331139,0.002006491,1.973881,1.777778,0.5340864,0.03007243,2.24321
Max: 1,2,3,21.06,16650.77,837.8688,39.86055,4339.076,1,54.86497,2.931641,3.000812,0.06000519,0.004289781,2.999997,16,0.7767206,0.04696014,3.238945
Min: -1,0,0,14.02,12941.35,40.65787,2.811748,54.53698,0,41.04297,2.508148,2.999878,-2.733618E-05,-1.738943E-06,0.3042221,0,0.1030183,0.007124361,0.3042221
