AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,404,8.08,21.12,19.12879
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0.2222222,0.3333333,18.14889,14777.2,602.1648,33.2538,4414.671,0.2222222,48.29135,2.669601,3,0.03258966,0.001860062,2.06065,0.4444444,0.7806237,0.04380403,2.667656
Max: 1,1,3,21.12,16608,940.4766,49.13604,8749.968,1,54.45201,2.750067,3.000094,0.06000148,0.003925996,2.999997,1,0.9307839,0.05781266,5.083575
Min: -1,0,0,15.14,12681.63,395.9236,21.80196,1675.724,0,41.44212,2.562063,2.999878,-2.977438E-05,-1.920928E-06,0.9000228,0,0.6579962,0.03185169,1.594805
