AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,330,6.6,12,27.5
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,12,0,826.017,69.06497,7201.246,0,480.8825,40.14044,21548.95,-4.568437E-07,-3.819763E-08,21543.86,159.1111,933.7754,78.07487,21549.44
Max: 1,0,0,12,0,1579.51,132.0661,9000,0,544.311,45.43497,25108.59,1.204689E-05,1.007265E-06,25108.59,180,1076.393,89.99944,25108.59
Min: -1,0,0,12,0,429.0561,35.87426,2155.353,0,57.28596,4.7818,39.24298,-1.125038E-05,-9.40667E-07,39.24298,2,84.64986,7.077748,39.24298
