AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,556,11.12,12.84,43.30218
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,12.84,0,3498.573,273.326,8333.378,5.666667,481.6325,37.56884,21540.65,0.01652215,0.001290793,21533.24,15.55556,897.4713,70.11495,21544.46
Max: 1,0,0,12.84,0,6678.287,521.7412,8981.338,14,544.5257,42.4747,25109.58,0.1472048,0.01150037,25101.09,20,1039.178,81.18576,25110.25
Min: -1,0,0,12.84,0,219.9149,17.18085,4773.35,0,60.519,4.720671,37.28857,-8.067968E-08,-6.3031E-09,37.28857,2,45.26482,3.536314,61.62449
