AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,537,10.74,12.52,42.89138
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,12.52,0,3797.498,304.2867,8204.757,5.555555,481.1467,38.49174,21546.24,0.01499012,0.001201131,21539.82,363.2222,897.069,71.88052,21547.76
Max: 1,0,0,12.52,0,6283.284,503.4683,8965.001,13,543.7057,43.49646,25109.44,0.1334604,0.01069394,25106.05,420,1036.649,83.06485,25109.68
Min: -1,0,0,12.52,0,189.3019,15.16842,4851.344,0,58.31731,4.665385,16.94604,-9.036057E-09,-7.24043E-10,16.94604,2,42.61159,3.41439,21.96401
