IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,6.46,0,209.9834,32.7077,5716.979,0,41.77414,6.486667,21.20653,0,0,21.20653,226,53.7188,8.367414,21.20653
1,0,0,7.48,0,480.9091,64.63832,8825.785,0,42.00275,5.630396,21.09671,0,0,21.09671,264,54.87802,7.376078,33.53784
1,0,0,7.92,0,261.2549,33.15417,5920.694,0,47.55341,6.019419,21.20655,0,0,21.20655,278,61.04123,7.746348,21.20655
1,0,0,8.72,0,378.2552,43.57779,2844.5,0,41.77288,4.801481,17.84451,0,0,17.84451,310,55.73237,6.42078,17.84451
1,0,0,9.94,0,509.1133,51.42559,4598.916,0,53.66698,5.409977,21.20642,0,0,21.20642,0,69.59444,7.029742,21.20642
1,0,0,10.26,0,765.5855,74.91052,6196.874,1,55.65752,5.435305,30.70989,0.1801469,0.0176269,30.70989,11,73.07372,7.15007,30.70989
-1,0,0,10.58,0,1309.129,124.2057,8957.067,0,48.25751,4.56984,5.000307,0.1,0.009487668,0.6750816,17,0.4584697,0.04349808,1.576665
1,0,0,11.3,0,1608.332,142.8358,8217.847,1,50.58857,4.484802,17.98128,0.2492958,0.02213995,17.98128,45,65.93673,5.855837,17.98128
1,0,0,11.62,0,2440.258,210.7304,8960.46,0,66.09353,5.697718,48.41165,0.2467399,0.02130742,48.41165,55,87.39143,7.546755,52.88391
