AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,140,2.8,11.32,12.36749
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,11.32,0,7489.634,663.9746,8560.532,3.666667,506.0397,44.78227,21592.26,0.0008484478,7.521701E-05,21587.25,15.11111,921.31,81.67642,21595.84
Max: 1,0,0,11.32,0,10586.11,938.4852,9000,17,581.3008,51.44255,25143.55,0.007643883,0.0006776492,25138.55,116,1069.452,94.80958,25148.55
Min: -1,0,0,11.32,0,1030.82,91.38472,5044.789,2,72.93122,6.454091,20.51612,-2.351403E-05,-2.084577E-06,18.69285,2,65.43396,5.800883,18.69285
