IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,13.86,12949.14,7.186972,0.5200414,63.5285,0,40.96326,2.959773,2.999878,0.05997086,0.004339425,2.999878,0,0.1192681,0.008630106,2.999878
1,0,0,14.78,12934.88,104.8275,7.11177,1074.743,0,41.7545,2.828896,2.999999,0.05996875,0.004068436,2.999999,0,0.6008815,0.04076536,2.999999
1,2,0,16.04,12821.18,426.6791,26.66744,1990.393,7,41.94715,2.618424,3.000004,-3.108382E-05,-1.942739E-06,1.457089,188,1.269675,0.07935468,1.921896
-1,4,3,16.3,15091.74,457.5919,28.14219,8998.602,0,47.62819,2.925564,3.000009,0.05999902,0.003689976,0.3055176,0,0.1609026,0.009895609,1.629691
1,2,0,17,14751.94,1374.106,81.0204,8826.421,6,47.65786,2.806705,2.999902,0.01886897,0.001112557,2.080634,19,1.001917,0.0590753,4.006144
1,0,0,17.5,14797.38,531.4523,30.43828,2796.754,0,48.04942,2.748823,3.000032,0.009465251,0.0005421106,2.986762,0,1.292461,0.07402412,2.986762
1,0,0,18.32,16568.63,368.3091,20.1482,1108.07,0,53.27063,2.910964,3.000582,0.02037793,0.001114767,1.151723,1,0.5784886,0.03164598,1.240825
1,0,0,19.1,16399.08,308.4301,16.18206,1599.268,0,53.70366,2.814657,3.000022,0.05996829,0.00314629,2.999986,0,0.4503897,0.0236301,2.999986
1,0,0,19.9,16509.2,325.6371,16.39663,1371.748,0,53.99172,2.715881,3.000006,0.01291916,0.0006505116,0.9984789,0,0.4497974,0.02264841,1.505792
