AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,621,12.42,21.68,28.64391
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,17.78,0,784.5717,42.32442,2740.122,7.111111,48.27556,2.735167,3.032893,0.03218304,0.001833734,1.896052,39.66667,0.9103434,0.04974117,2.426492
Max: 1,0,0,21.68,0,1618.476,87.39074,8829.781,27,54.88428,2.910048,3.045405,0.06005081,0.004017772,3.003954,113,1.339244,0.07566351,5.997444
Min: -1,0,0,14.18,0,186.1749,13.16654,437.6297,0,40.96218,2.5339,3.000281,-0.00358643,-0.0002536372,0.5270958,0,0.3494639,0.02471456,0.5270958
