AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,1093,21.86,21.5,50.83721
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0.4444444,0.3333333,17.83555,14737.61,501.7538,27.64897,3043.667,0,47.90435,2.701005,3.000181,0.03140288,0.001849418,1.755286,0.1111111,0.560918,0.03112261,2.092073
Max: 1,2,3,21.5,16672.29,1161.81,54.13841,7634.477,0,54.34742,2.924165,3.000973,0.060009,0.004286357,2.999999,1,0.9398969,0.05310152,2.999999
Min: -1,0,0,14.04,12990.67,257.6964,13.4926,856.9084,0,40.9968,2.53014,3.000006,-3.079325E-05,-1.912624E-06,0.6145239,0,0.06001771,0.004286979,0.6145239
