AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,328,6.56,11.86,27.65599
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,11.86,0,699.4437,59.17459,6152.449,0,479.7672,40.52087,21547.5,0.02349098,0.001987393,21544.3,41.66667,930.8182,78.74944,21548.05
Max: 1,0,0,11.86,0,1738.741,147.1016,8799.244,0,544.5372,45.99132,25109.21,0.2098506,0.01775386,25104,47,1073.896,90.85413,25109.65
Min: -1,0,0,11.86,0,300.3522,25.41051,2707.629,0,59.55651,5.030111,38.73312,-6.82634E-09,-5.775246E-10,38.73312,5,91.61158,7.750557,38.73312
