AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,254,5.08,12.04,21.09635
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,12.04,0,14962.54,1246.878,9000,9.888889,502.2577,41.78516,21490.31,0.03115531,0.002596276,21485.43,14.22222,917.3001,76.44168,21495.56
Max: 1,0,0,12.04,0,17550.28,1462.523,9000,49,580.1287,48.26362,25069.14,0.08581074,0.007150895,25064.15,88,1065.361,88.78012,25074.14
Min: -1,0,0,12.04,0,10122.06,843.5051,9000,5,58.84798,4.895839,15.82975,0.01663391,0.001386159,13.68378,5,24.71016,2.05918,21.14249
