IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,12,0,5783.733,483.5898,8977.884,5,526.9598,43.98663,23361.43,9.233157E-05,7.720031E-06,23354.13,388,976.9548,81.68519,23362.04
1,0,0,12,0,1586.7,132.6673,5081.164,4,535.3922,44.6905,24330.4,0.0002854049,2.386328E-05,24323.95,388,1005.537,84.075,24331.7
1,0,0,12,0,1554.254,129.9543,5522.834,1,543.9106,45.40155,25096.9,0.0001843627,1.541494E-05,25088.71,386,1033.202,86.38815,25097.49
1,0,0,12,0,3277.779,274.0618,8882.958,4,527.5596,44.03669,23609.01,0.0001005829,8.409938E-06,23609.01,386,981.2522,82.0445,23609.16
1,0,0,12,0,2569.653,214.8539,8784.867,12,530.9606,44.32058,24094.72,0.0002772286,2.317965E-05,24087.11,392,997.5446,83.40675,24096.31
-1,0,0,12,0,1044.103,87.2996,5073.819,0,533.5251,44.53465,24626.11,-8.732434E-08,-7.301366E-09,24621.11,2,985.1826,82.37312,24626.58
1,0,0,12,0,5667.198,473.846,8973.775,10,60.40302,5.041988,27.04612,0.1449498,0.01211955,24.99129,392,41.22188,3.446646,37.95295
1,0,0,12,0,5803.055,485.2053,8957.398,8,529.1572,44.17005,23856.49,0.000227659,1.903503E-05,23849.88,386,991.7225,82.91994,23857.77
1,0,0,12,0,1903.11,159.1229,8945.968,0,539.5778,45.03989,24865.15,0.0002681412,2.241983E-05,24859.02,384,1025.28,85.72574,24865.52
