IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,13.76,12949.24,8.186728,0.5967003,56.27636,0,40.99423,2.983568,2.999878,0.05997086,0.004371054,2.999878,0,0.0783255,0.005708856,2.999878
1,0,0,15.38,12874.53,237.9131,15.50933,1069.394,0,41.74375,2.717692,3.000004,-2.930127E-05,-1.910122E-06,1.836576,0,0.4882825,0.03183067,1.838916
1,0,0,16.2,12894.98,741.0528,45.85723,5154.646,0,41.97332,2.594148,2.999999,0.05997136,0.003711099,2.999999,0,0.5225996,0.03233909,2.999999
1,0,0,17.64,14349.62,468.3617,26.61146,1689.611,5,47.02334,2.668748,2.999902,0.01785371,0.001014415,2.254954,187,0.7522288,0.04274027,2.317016
-1,4,3,18.18,16972.01,20.93961,1.154333,75.91977,0,53.61057,2.952124,3.000057,0.05999582,0.003307377,0.8661985,0,0.07863616,0.004334959,0.8661985
1,2,0,18.32,14694.76,596.0521,32.60679,2394.81,0,48.23079,2.635562,3.000885,0.009468177,0.0005179528,2.008437,0,0.7127352,0.03898989,2.342347
1,0,0,19.7,14992.6,1139.841,57.9777,6943.468,0,48.32445,2.455511,3.000069,0.05996968,0.00305034,2.362931,0,0.897662,0.04565931,2.635616
1,0,0,20.5,16882.28,928.6085,45.38653,7509.858,0,54.92104,2.681691,3,0.01291927,0.0006314404,1.354852,0,0.850339,0.04156105,5.045763
1,2,0,21.28,16614.65,1415.045,66.62173,6179.454,0,54.28496,2.553385,3.000001,0.02037504,0.0009592766,1.770644,0,1.096466,0.05162269,3.918189
