AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,423,8.46,10.14,41.71598
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0,0,10.14,0,1777.197,175.9601,7596.38,5.444445,480.0365,47.43443,21547.62,0.01803157,0.001785305,21542.29,288.3333,893.6854,88.48372,21547.93
Max: 1,0,0,10.14,0,3139.292,310.821,8880.837,15,545.5583,53.90893,25106.74,0.1612824,0.01596855,25098.29,339,1036.004,102.5747,25107.22
Min: -1,0,0,10.14,0,339.1994,33.5841,4778.309,0,53.53616,5.290135,17.114,-2.799705E-09,-2.771986E-10,17.114,2,35.72981,3.537605,17.114
