AGENT_COUNT,ELAPSED_FRAMES,SIMULATION_DURATION,REAL_TIME_DURATION,AVERAGE_FPS
8,1071,21.42,21.36,50.14045
IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
Average: 0.7777778,0.4444444,0.3333333,18.01111,14643.21,660.9423,36.20382,3248.298,0,47.91808,2.673557,3.000285,0.03140231,0.001809032,2.044028,0.1111111,0.8143191,0.04360624,2.11424
Max: 1,2,3,21.36,16620.31,1346.966,65.38669,6942.462,0,54.4526,2.920307,3.000962,0.060009,0.004286357,2.999999,1,1.708819,0.08295238,2.999999
Min: -1,0,0,14.04,12956.06,300.814,16.80525,1184.271,0,40.9427,2.535022,3.000012,-2.996251E-05,-1.746067E-06,0.5927801,0,0.06019786,0.004299847,0.5927801
