IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,11.08,0,1878.162,170.1234,8719.185,4,57.18653,5.170573,31.31749,0.1256505,0.01138138,31.00194,352,43.56325,3.945947,31.39282
1,0,0,11.08,0,2076.421,188.0816,8944.529,18,520.8941,47.09712,23606.21,0.0002304135,2.087079E-05,23599.79,353,984.6933,89.19324,23607.05
-1,0,0,11.08,0,344.8365,31.23519,4775.871,0,530.3907,47.95576,24408.56,-9.752362E-09,-8.833662E-10,24403.56,2,976.661,88.46568,24408.95
1,0,0,11.08,0,2710.314,245.4995,8936.695,4,521.9536,47.19291,23367.71,6.519569E-05,5.905406E-06,23361.05,353,976.6021,88.46033,23368.68
1,0,0,11.08,0,1476.22,133.7156,8828.837,1,529.8625,47.908,24098.01,3.837707E-05,3.476184E-06,24098.01,346,1004.865,91.02042,24098.01
1,0,0,11.08,0,1405.312,127.2928,8611.576,9,533.8226,48.26606,24609.28,0.0002012218,1.822662E-05,24601.7,352,1020.137,92.40372,24610
1,0,0,11.08,0,1220.584,110.5602,6671.913,0,531.3802,48.04523,23859.15,0.0001290789,1.169193E-05,23852.4,349,997.6399,90.36594,23859.91
1,0,0,11.08,0,1193.559,108.1122,5874.527,4,545.033,49.27966,24861.26,0.0002199555,1.99235E-05,24852.07,349,1032.037,93.48158,24861.53
1,0,0,11.08,0,1110.797,100.6156,6126.988,0,543.9275,49.1797,25110.44,0.0001372348,1.243069E-05,25110.44,339,1036.01,93.84148,25110.44
