IS_AGENT,AGENT_COLLISION_COUNT,OBSTACLE_COLLISION_COUNT,AGENT_COMPLETION_TIME,TOTAL_METABOLIC_ENERGY,TOTAL_DEGREES_TURNED,AVG_ANGULAR_SPEED,MAX_INSTANT_ANG_SPEED,ANGULAR_INFLECTION_COUNT,TOTAL_DISTANCE,AVG_SPEED,MAX_INSTANT_SPEED,TOTAL_SPEED_CHANGE,AVG_SPEED_CHANGE,MAX_INSTANT_SPEED_CHANGE,SPEED_CHANGE_INFLECT_COUNT,TOTAL_ACCELERATION,AVG_ACCELERATION,MAX_INSTANT_ACCEL
1,0,0,14.92,12891.12,417.2477,28.04084,2336.619,38,41.9032,2.812295,3.000004,-0.002703117,-0.0001816611,2.214476,109,0.5488037,0.03688197,2.254305
1,0,0,15.52,12979.27,621.3076,40.13615,2121.895,16,42.09074,2.715532,2.999999,0.05675169,0.00366613,2.999999,238,0.9507334,0.06141689,2.999999
-1,7,3,16.28,14920.39,1.597549,0.09837127,60.06096,0,46.95231,2.887596,3.000641,0.06001277,0.003695367,0.3052905,0,0.06002314,0.003696006,0.3052905
1,2,0,16.36,12825.54,5175.494,317.1259,9000,110,42.73098,2.615115,2.999973,-2.939254E-05,-1.801014E-06,1.909916,255,3.742682,0.229331,5.999899
1,3,0,17.76,15097.6,1207.962,68.16943,5890.702,0,48.96383,2.760081,3.000011,0.05996974,0.003384297,2.362931,0,1.166529,0.06583121,2.362931
1,2,0,18.56,14723.07,825.1026,44.55198,3688.049,0,48.24756,2.60235,3.000032,0.009465896,0.0005111175,2.396158,0,1.164809,0.06289464,2.396158
1,0,0,19.64,16572.52,713.0655,36.38089,1470.011,0,53.86545,2.745436,3.000553,0.01350471,0.0006890157,1.042535,0,0.9494458,0.04844111,2.320776
1,0,0,20.38,16674.86,1700.824,83.61969,5009.336,0,54.3765,2.670752,3.000006,0.01291832,0.000635119,1.757028,0,1.385087,0.06809673,2.127622
1,0,0,21.12,16088.49,1384.44,65.67552,3199.875,0,53.90029,2.554516,3.000864,-2.787821E-05,-1.322496E-06,1.442457,0,1.276775,0.06056806,1.838234
